Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2013-01-03,1130.89,1126.10,1130.40,,1,6090218161
2013-01-02,1129.96,1116.62,1129.96,,1,7805855614
2012-12-28,1114.00,1104.69,1104.73,,1,7067175076
2012-12-27,1114.05,1104.07,1110.91,,1,6127209655
2012-12-21,1109.14,1097.98,1107.93,,1,8934158302
2012-12-20,1109.20,1101.91,1108.07,,1,7336610757
2012-12-19,1110.03,1103.95,1108.94,,1,9229608567
2012-12-18,1108.75,1103.10,1107.48,,1,9699295935
2012-12-17,1102.41,1094.80,1101.71,,1,7541328517
2012-12-14,1099.07,1093.55,1098.08,,1,7725912857
2012-12-13,1103.88,1092.12,1092.12,,1,12459644803
2012-12-12,1109.98,1102.22,1103.35,,1,7208943396
2012-12-11,1109.56,1101.99,1108.96,,1,7816811163
2012-12-10,1107.03,1093.55,1105.95,,1,8262568773
2012-12-07,1100.84,1094.66,1098.62,,1,6573653261
2012-12-06,1102.71,1094.92,1098.03,,1,7902943692
2012-12-05,1096.26,1090.41,1091.33,,1,6826278294
2012-12-04,1090.06,1085.16,1088.60,,1,5856403890
2012-12-03,1096.94,1086.84,1088.88,,1,6434478935
2012-11-30,1090.94,1083.25,1085.85,,1,9180683985
2012-11-29,1085.03,1074.22,1085.03,,1,8044214057
2012-11-28,1069.97,1061.19,1069.39,,1,6638157104
2012-11-27,1075.56,1068.24,1071.73,,1,6753008239
2012-11-26,1074.21,1065.11,1068.98,,1,6675689640
2012-11-23,1071.77,1058.31,1071.77,,1,6240143635
2012-11-22,1062.19,1054.01,1060.98,,1,6526598314
2012-11-21,1056.90,1048.16,1053.64,,1,6364793247
2012-11-20,1055.22,1047.45,1053.91,,1,7165922984
2012-11-19,1051.36,1034.70,1051.36,,1,7307741412
2012-11-16,1043.01,1026.47,1027.04,,1,7759066535
2012-11-15,1045.61,1037.56,1038.33,,1,7580337788
2012-11-14,1056.87,1048.84,1052.22,,1,8221652429
2012-11-13,1053.95,1040.13,1052.98,,1,7275738523
2012-11-12,1057.49,1049.60,1052.30,,1,4943093448
2012-11-09,1059.45,1043.64,1052.15,,1,6817232116
2012-11-08,1064.37,1052.50,1055.52,,1,7678285554
2012-11-07,1079.03,1056.40,1056.40,,1,9538866030
2012-11-06,1073.88,1063.16,1072.48,,1,8123292315
2012-11-05,1068.27,1062.18,1063.35,,1,7336349994
2012-11-02,1069.91,1062.60,1069.91,,1,4127665474
2012-11-01,1064.08,1047.28,1062.51,,1,8742054722
2012-10-31,1065.70,1051.96,1052.11,,1,8167282941
2012-10-30,1061.62,1054.73,1059.20,,1,5637423120
2012-10-29,1059.51,1051.52,1055.57,,1,5683661688
2012-10-26,1061.01,1048.17,1059.20,,1,8315969244
2012-10-25,1062.34,1046.12,1057.74,,1,9580764598
2012-10-24,1054.72,1034.55,1050.47,,1,13546880391
2012-10-23,1068.52,1044.20,1048.60,,1,10851611969
2012-10-22,1075.95,1061.89,1067.28,,1,9091550590
2012-10-19,1081.39,1064.62,1064.64,,1,9363605303
2012-10-18,1083.57,1072.49,1082.72,,1,11917179221
2012-10-17,1076.16,1068.85,1075.50,,1,10765932333
2012-10-16,1072.86,1062.72,1072.86,,1,8457796394
2012-10-15,1068.07,1058.00,1063.71,,1,7133609250
